independencia,independence,
"inspeksyunan, inspekcionan",inspect,
inspiracion,inspiration,
intencion,intention,
inyawad,ask for,
ipabando,advertise,
"isadia, yanda, magsadia",observe,
isak,small brook or stream,
isik,chinese,
iskrin,screen,
iskuala,miter,
"iskuater, makituknang",squatter,
ispagueti,spaghetti,
istuna,stop,
itaid,link,
itas,elevate,
"itas, ibuat (lift)",raise,
"itatag, ipundar",establish,
itaute,retail,
"iti, ining, ining..aini",this,
itulid,straighten,
iyagpa,spread,
iyapse,say,
jo,friend,
jo,partner,
jo,love,
kaballero,cavalier,
kabangal,a piece of,
kabanglu,kabanglu,
kabat,to lock,
kabayangnan,youth,
kabiasnan,intellect,
kabiasnan,wisdom,
kabid,pull back,
kablas,backfire,
kablas,echo,
kabsi,fullness,
"kabusadu, sanak",familiar,
kabyo,process sugar cane into sugar,
kadalumduman,darkness,
kagli,state of conceiving,
"kaguili, guilian",slice,
kaili,left,
kaili,left side,
"kakaburi, kapalsintan, nobia, -ia",sweetheart,
"kakaburi, katipan, nobio nobia","fiance, fiancee",
kakak,stammer,
kakak,stutter,
kakak,stammerer,
kakak,stuttering,
"kakaluluan, kalipitan",poverty,
kakewan,forest,
kakialung,playmate,
kaklak,deafness,
"kakompetencia, kasalipit",rival,
kalaalangnan,venerable,
kalabkab,blaze,
kalabukab,a poisonous snake similar to a cobra,
kaladua,soul,
kaladwa,soul,
kalagad,scarcely,
kalakati,snips used for breaking betel nut,
kalame,a kind of rice cake,
kalamunding,philippine lemon,
kalamunding,lemon,
kalamungge,a kind of vegetable,
kalapanti,shards of broken china or ceramics,
"kalbag, kinco",nickel,
kalbit,"touch, tap",
kalbitan,trigger,
kalbitan,pluck,
kaleldo,summer,
kaleldo,season,
kalgareta,a kind of meat stew,
kalibyan,lust,
kalikubak,dandruff,
kalilwa,"separate, set aside",
kalinguan,forget,
kalingwan,kalingwan,
kalken,scrawl,
kalsador,shoehorn,
"kalubalab, baiwan",neophyte,
kalugkug,roar,
"kalulu, pakakalulu, lipit",poor,
kaluskus,rustle,
kaluskus,sound,
kamantigi,a kind of tree,
kamatsilis,a kind of fruit tree,
kamutingan,silliness,
kandungangu,a wild bird,
kantidad,volume,
kantidad (an amount),quanlity,
kanunugak,garden snake,
kanunugak,snake,
kanwari,pretend,
kanyaman,delicious,
kanyo,pig slop,
kapadurutnan,biochain,
"kapagobra, kompanero",co-worker,
"kapaintulutan, tulut",consent,
"kapalit, kaliwas",alternate,
"kapalit, kayalili",substitute,
kapalsintan,lover,
kapalyarian,"happening, situation",
kapartner,partner,
kapasensiahan,patience,
"kapigaganaka, pigaganakan, migaganaka",worry,
kapilla,chapel,
kapitna,half,
kaplas,"hurt, sting",
kapsa,shell,
kaptas,bale,
kaptas,sheaf,
kapusantu,cemetery,
karakal,karakal,
"karculan, tantian",estimate,
"karinan, tuknangan",shelter,
karkulador,calculator,
karwai,carriage,
kasalesayan,story,
kasalpantayanan,faith,
kasalungsungan,currently,
kasankapan,appliance,
kasankapan,property,
"kasantingan, marimla",cool,
"kasapakat, kasorait",accomplice,
kasapunggul,bunch,
kasapuwegu,match box,
kashif,kashif,
kasilyas,toilet,
kasnuk,abhorrence,
kastanas,chestnut,
kasuba,safron,
"kasulung, progreso",progress,
kasulungsungan,current,
kasulungsungan,live,
kasumangid,"across, beyond, the other side",
katambayan,"co-worker, collaborator",
katampatan,appropriate,
"katatan, guilian",slash,
katibug,basket,
katmu,full of,
katsup,ketchup,
katuangan,father-in-law,
katuglung,continuation,
katus,snap,
kaul,embrace,
kaul,hug,
kayabe,companion,
kayaduanan,request,
kayagape,beside,
kayalan,absence,
kayanib,member,
kaybat,after,
keganagana,total,
keibaitan,birth,
kekatamung,our,
kekaungan,to all,
kekayu,yours,
kekongan,to all of you,
kelat,ubiquitious,
"kelebrahan, magkelebra",celebrate,
"kemiento, samiento, samientuan",cemet,
keni,here,
kentimos,centave,
kenu,whose,
kepis,cap,
kera,lie down,
keraklan,mostly,
keraklan,majority,
keraklan,mainly,
kerida,concubine,
kesa,instead,
kesa,than,
kesyo,this or that,
ket,bite,
ketubasan,gone bad,
kikimut,active,
kikwan,miscarriage,
kilap,"sheen, shine",
kildap,lightning,
"kildap, alti",earthquake wari?!?!?,
kile,brow,
kile,eyebrow,
kilikitan,tickle,
kilim,flicker,
kilual,outside,
kilub,inside,
kilub,in,
kilub,interior,
kimo,awkward,
kimtse,parsley,
kimut,movement,
kingwa,taken from,
kintalan,brand,
kiriling,tintinnabulation,
